split_id,bin,bin_left,bin_right,n,mean_pred,frac_pos
19,3,0.30000000000000004,0.4,0,,
19,4,0.4,0.5,0,,
19,5,0.5,0.6000000000000001,0,,
19,6,0.6000000000000001,0.7000000000000001,0,,
19,7,0.7000000000000001,0.8,0,,
19,8,0.8,0.9,1,0.8446658333670797,1.0
19,9,0.9,1.0,5,0.9717821656860999,1.0
20,0,0.0,0.1,8,0.02378210357021656,0.0
20,1,0.1,0.2,0,,
20,2,0.2,0.30000000000000004,0,,
20,3,0.30000000000000004,0.4,1,0.3916484333864515,1.0
20,4,0.4,0.5,0,,
20,5,0.5,0.6000000000000001,0,,
20,6,0.6000000000000001,0.7000000000000001,0,,
20,7,0.7000000000000001,0.8,0,,
20,8,0.8,0.9,0,,
20,9,0.9,1.0,5,0.9720295221135578,1.0
21,0,0.0,0.1,6,0.03271897680439243,0.16666666666666666
21,1,0.1,0.2,0,,
21,2,0.2,0.30000000000000004,0,,
21,3,0.30000000000000004,0.4,0,,
21,4,0.4,0.5,0,,
21,5,0.5,0.6000000000000001,1,0.5349257036034987,1.0
21,6,0.6000000000000001,0.7000000000000001,1,0.6972889779702169,1.0
21,7,0.7000000000000001,0.8,0,,
21,8,0.8,0.9,1,0.852031720649134,1.0
21,9,0.9,1.0,5,0.9782786999117559,1.0
22,0,0.0,0.1,5,0.024042725061717778,0.0
22,1,0.1,0.2,1,0.10469304397889502,1.0
22,2,0.2,0.30000000000000004,1,0.20956511813931086,0.0
22,3,0.30000000000000004,0.4,0,,
22,4,0.4,0.5,1,0.4308390135157841,1.0
22,5,0.5,0.6000000000000001,0,,
22,6,0.6000000000000001,0.7000000000000001,0,,
22,7,0.7000000000000001,0.8,0,,
22,8,0.8,0.9,0,,
22,9,0.9,1.0,6,0.9629075107660195,1.0
23,0,0.0,0.1,7,0.0336242406378587,0.0
23,1,0.1,0.2,1,0.15357350980902548,0.0
23,2,0.2,0.30000000000000004,0,,
23,3,0.30000000000000004,0.4,0,,
23,4,0.4,0.5,0,,
23,5,0.5,0.6000000000000001,1,0.5968541170155075,1.0
23,6,0.6000000000000001,0.7000000000000001,0,,
23,7,0.7000000000000001,0.8,0,,
23,8,0.8,0.9,0,,
23,9,0.9,1.0,5,0.9847052576995831,1.0
24,0,0.0,0.1,5,0.0476237588653079,0.2
24,1,0.1,0.2,0,,
24,2,0.2,0.30000000000000004,1,0.2000809244295068,0.0
24,3,0.30000000000000004,0.4,0,,
24,4,0.4,0.5,1,0.4550656712794322,1.0
24,5,0.5,0.6000000000000001,0,,
24,6,0.6000000000000001,0.7000000000000001,0,,
24,7,0.7000000000000001,0.8,0,,
24,8,0.8,0.9,0,,
24,9,0.9,1.0,7,0.9821859278088435,1.0
25,0,0.0,0.1,5,0.048330626982304635,0.0
25,1,0.1,0.2,0,,
25,2,0.2,0.30000000000000004,1,0.2431876451586711,0.0
25,3,0.30000000000000004,0.4,1,0.331407534538411,1.0
25,4,0.4,0.5,0,,
25,5,0.5,0.6000000000000001,0,,
25,6,0.6000000000000001,0.7000000000000001,0,,
25,7,0.7000000000000001,0.8,1,0.7595229138598659,1.0
25,8,0.8,0.9,0,,
25,9,0.9,1.0,6,0.9802802432100798,1.0
26,0,0.0,0.1,6,0.014215800111548623,0.0
26,1,0.1,0.2,1,0.11719286551709451,0.0
26,2,0.2,0.30000000000000004,0,,
26,3,0.30000000000000004,0.4,0,,
26,4,0.4,0.5,0,,
26,5,0.5,0.6000000000000001,0,,
26,6,0.6000000000000001,0.7000000000000001,0,,
26,7,0.7000000000000001,0.8,0,,
26,8,0.8,0.9,1,0.886465884054976,1.0
26,9,0.9,1.0,6,0.9735922600088567,1.0
27,0,0.0,0.1,1,0.010555635188519484,0.0
27,1,0.1,0.2,2,0.1352862337411304,0.0
27,2,0.2,0.30000000000000004,1,0.26955499146817036,0.0
27,3,0.30000000000000004,0.4,3,0.35777498255774187,0.6666666666666666
27,4,0.4,0.5,0,,
27,5,0.5,0.6000000000000001,0,,
27,6,0.6000000000000001,0.7000000000000001,1,0.6146899512495181,1.0
